review_id,date,marketplace,sku,rating,text,has_photo,order_id
R-001,2026-05-24,WB,IQ-ENERGY-GUM,5,"Понравился вкус, удобно брать с собой. Эффект бодрости заметен днем.",TRUE,WB-10001
R-002,2026-05-24,Ozon,IQ-OMEGA-90,2,"Банка пришла помятая, крышка была плохо закрыта. Очень неприятно.",TRUE,OZ-20014
R-003,2026-05-23,WB,IQ-SLEEP-MAG,3,"Вкус нормальный, но пока нет эффекта. Возможно нужно больше времени.",FALSE,WB-10018
R-004,2026-05-23,Ozon,IQ-MAG-B6,1,После приема стало плохо и разболелась голова. Больше брать не буду.,FALSE,OZ-20018
R-005,2026-05-22,WB,IQ-COLLAGEN,4,"Упаковка красивая, вкус нейтральный. Закажу еще по скидке.",TRUE,WB-10027
R-006,2026-05-22,Ozon,IQ-ENERGY-GUM,5,"Отличный формат, не нужно разводить порошок. Работает мягко.",FALSE,OZ-20033
R-007,2026-05-21,WB,IQ-OMEGA-90,2,"Доставка задержалась на неделю, поддержка маркетплейса не отвечает.",FALSE,WB-10040
R-008,2026-05-21,Ozon,IQ-COLLAGEN,3,"Цена кажется высокой, хотелось бы больше капсул в упаковке.",FALSE,OZ-20049
R-009,2026-05-20,WB,IQ-MAG-B6,5,"Хороший магний, удобно пить вечером. Упаковка целая.",TRUE,WB-10055
R-010,2026-05-20,Ozon,IQ-SLEEP-MAG,2,"Запах странный, вкус горький, ожидала лучше.",FALSE,OZ-20061
