date,marketplace,campaign_id,campaign_name,sku,product_name,impressions,clicks,spend_rub,orders,revenue_rub,margin_rate,stock_units,ad_position,bid_rub
2026-05-25,WB,WB-ENERGY-BAL-01,Energy Brand Search,IQ-ENERGY-GUM,Energy Gummies,9200,414,10350,42,79800,0.46,320,2.4,25
2026-05-26,WB,WB-ENERGY-BAL-01,Energy Brand Search,IQ-ENERGY-GUM,Energy Gummies,9600,442,11050,46,87400,0.46,306,2.3,25
2026-05-27,WB,WB-ENERGY-BAL-01,Energy Brand Search,IQ-ENERGY-GUM,Energy Gummies,9900,465,11625,49,93100,0.46,292,2.2,25
2026-05-25,Ozon,OZ-OMEGA-BAL-02,Omega Profit Search,IQ-OMEGA-90,Omega 90 Capsules,7600,258,7740,24,38160,0.42,210,3.4,30
2026-05-26,Ozon,OZ-OMEGA-BAL-02,Omega Profit Search,IQ-OMEGA-90,Omega 90 Capsules,7900,276,8280,26,41340,0.42,197,3.2,30
2026-05-27,Ozon,OZ-OMEGA-BAL-02,Omega Profit Search,IQ-OMEGA-90,Omega 90 Capsules,8200,287,8610,27,42930,0.42,186,3.1,30
2026-05-25,WB,WB-SLEEP-BAL-03,Sleep Retargeting,IQ-SLEEP-MAG,Sleep Magnesium,5100,158,4740,14,18060,0.48,150,4.8,30
2026-05-26,WB,WB-SLEEP-BAL-03,Sleep Retargeting,IQ-SLEEP-MAG,Sleep Magnesium,5400,165,4950,15,19350,0.48,139,4.7,30
2026-05-27,WB,WB-SLEEP-BAL-03,Sleep Retargeting,IQ-SLEEP-MAG,Sleep Magnesium,5600,170,5100,15,19350,0.48,128,4.6,30
2026-05-25,Ozon,OZ-MAG-BAL-04,Magnesium Defense,IQ-MAG-B6,Magnesium B6,4300,188,7520,23,32085,0.44,24,2.0,40
2026-05-26,Ozon,OZ-MAG-BAL-04,Magnesium Defense,IQ-MAG-B6,Magnesium B6,4500,196,7840,25,34875,0.44,19,1.9,40
2026-05-27,Ozon,OZ-MAG-BAL-04,Magnesium Defense,IQ-MAG-B6,Magnesium B6,4700,202,8080,26,36270,0.44,15,1.8,40
2026-05-25,WB,WB-COLLAGEN-BAL-05,Collagen Content Test,IQ-COLLAGEN,Marine Collagen,8700,253,7590,19,37810,0.40,360,5.8,30
2026-05-26,WB,WB-COLLAGEN-BAL-05,Collagen Content Test,IQ-COLLAGEN,Marine Collagen,9100,268,8040,20,39800,0.40,348,5.5,30
2026-05-27,WB,WB-COLLAGEN-BAL-05,Collagen Content Test,IQ-COLLAGEN,Marine Collagen,9400,281,8430,22,43780,0.40,334,5.3,30
