date,marketplace,campaign_id,campaign_name,sku,product_name,impressions,clicks,spend_rub,orders,revenue_rub,margin_rate,stock_units,ad_position,bid_rub
2026-05-20,WB,WB-ENERGY-01,Search Energy Gummies,SKU-ENERGY-GUM,Energy Gummies,11800,382,11460,42,79800,0.46,240,3.1,30
2026-05-21,WB,WB-ENERGY-01,Search Energy Gummies,SKU-ENERGY-GUM,Energy Gummies,12350,401,12030,48,91200,0.46,225,,30
2026-05-22,WB,WB-ENERGY-01,Search Energy Gummies,SKU-ENERGY-GUM,Energy Gummies,12720,422,12660,51,96900,0.46,210,2.8,30
2026-05-23,WB,WB-ENERGY-01,Search Energy Gummies,SKU-ENERGY-GUM,Energy Gummies,13140,438,13140,54,102600,0.46,198,2.7,30
2026-05-24,WB,WB-ENERGY-01,Search Energy Gummies,SKU-ENERGY-GUM,Energy Gummies,13500,455,13650,58,110200,0.46,184,2.6,30
2026-05-20,Ozon,OZ-OMEGA-02,Ozon Omega Search,SKU-OMEGA-90,Omega 90 Capsules,9100,112,6720,4,6360,0.42,160,8.2,60
2026-05-21,Ozon,OZ-OMEGA-02,Ozon Omega Search,SKU-OMEGA-90,Omega 90 Capsules,9800,119,7140,5,7950,0.42,154,,60
2026-05-22,Ozon,OZ-OMEGA-02,Ozon Omega Search,SKU-OMEGA-90,Omega 90 Capsules,10200,130,7800,4,6360,0.42,150,7.8,60
2026-05-23,Ozon,OZ-OMEGA-02,Ozon Omega Search,SKU-OMEGA-90,Omega 90 Capsules,10800,137,8220,5,7950,0.42,142,7.6,60
2026-05-24,Ozon,OZ-OMEGA-02,Ozon Omega Search,SKU-OMEGA-90,Omega 90 Capsules,11100,141,8460,6,9540,0.42,136,7.5,60
2026-05-20,WB,WB-SLEEP-03,WB Sleep Broad Query,SKU-SLEEP-MAG,Sleep Magnesium,7900,52,2080,0,0,0.48,95,12.1,40
2026-05-21,WB,WB-SLEEP-03,WB Sleep Broad Query,SKU-SLEEP-MAG,Sleep Magnesium,8500,61,2440,0,0,0.48,92,,40
2026-05-22,WB,WB-SLEEP-03,WB Sleep Broad Query,SKU-SLEEP-MAG,Sleep Magnesium,8700,64,2560,1,1290,0.48,87,11.8,40
2026-05-23,WB,WB-SLEEP-03,WB Sleep Broad Query,SKU-SLEEP-MAG,Sleep Magnesium,9000,67,2680,0,0,0.48,84,11.7,40
2026-05-24,WB,WB-SLEEP-03,WB Sleep Broad Query,SKU-SLEEP-MAG,Sleep Magnesium,9300,71,2840,0,0,0.48,80,11.5,40
2026-05-20,Ozon,OZ-MAG-04,Magnesium Brand Defense,SKU-MAG-B6,Magnesium B6,5200,191,7640,24,33480,0.44,14,2.2,40
2026-05-21,Ozon,OZ-MAG-04,Magnesium Brand Defense,SKU-MAG-B6,Magnesium B6,5400,205,8200,28,39060,0.44,10,2.1,40
2026-05-22,Ozon,OZ-MAG-04,Magnesium Brand Defense,SKU-MAG-B6,Magnesium B6,5700,214,8560,29,40455,0.44,8,,40
2026-05-23,Ozon,OZ-MAG-04,Magnesium Brand Defense,SKU-MAG-B6,Magnesium B6,5800,219,8760,31,43245,0.44,7,1.9,40
2026-05-24,Ozon,OZ-MAG-04,Magnesium Brand Defense,SKU-MAG-B6,Magnesium B6,6000,225,9000,32,44640,0.44,5,1.8,40
2026-05-20,WB,WB-COLLAGEN-05,Collagen Category Search,SKU-COLLAGEN,Marine Collagen,14200,430,17200,12,23880,0.40,310,5.1,40
2026-05-21,WB,WB-COLLAGEN-05,Collagen Category Search,SKU-COLLAGEN,Marine Collagen,15100,465,18600,13,25870,0.40,300,,40
2026-05-22,WB,WB-COLLAGEN-05,Collagen Category Search,SKU-COLLAGEN,Marine Collagen,15900,481,19240,15,29850,0.40,286,4.8,40
2026-05-23,WB,WB-COLLAGEN-05,Collagen Category Search,SKU-COLLAGEN,Marine Collagen,16300,502,20080,14,27860,0.40,272,4.7,40
2026-05-24,WB,WB-COLLAGEN-05,Collagen Category Search,SKU-COLLAGEN,Marine Collagen,16900,519,20760,16,31840,0.40,260,4.6,40
