date,marketplace,keyword,competitor_brand,product_name,sku,price_rub,rating,reviews_count,organic_position,ad_position,stock_status,title,bullets
2026-05-24,WB,витамины для энергии,NutraGo,Energy Boost Gummies,WB-C-100,1690,4.71,2600,1,1,in_stock,Витамины для энергии жевательные пастилки,гуарана витамины b бодрость без сахара
2026-05-24,WB,витамины для энергии,ActiveLife,Daily Energy Complex,WB-C-101,1850,4.65,1820,2,3,in_stock,Комплекс для энергии и концентрации,коэнзим q10 b12 фокус работоспособность
2026-05-24,WB,витамины для энергии,BioPlus,Energy Vitamin Mix,WB-C-102,1490,4.58,940,5,0,in_stock,Витамины энергия тонус,витамин c b6 b12 натуральный вкус
2026-05-24,Ozon,омега 3 капсулы,OceanLab,Omega 3 1000 mg,OZ-C-200,1290,4.78,5200,1,1,in_stock,Омега 3 капсулы 1000 мг,epa dha рыбий жир сердце кожа
2026-05-24,Ozon,омега 3 капсулы,NordWell,Omega Premium,OZ-C-201,1450,4.74,3100,3,2,in_stock,Омега 3 премиум капсулы,очищенный рыбий жир epa dha без запаха
2026-05-24,Ozon,омега 3 капсулы,VitActive,Omega Family Pack,OZ-C-202,1190,4.61,1800,7,4,in_stock,Омега 3 семейная упаковка,капсулы рыбий жир витамин e
2026-05-24,WB,магний для сна,SleepLab,Magnesium Sleep,WB-C-300,1180,4.52,1600,3,1,in_stock,Магний для сна комплекс,глицин b6 вечерний прием расслабление
2026-05-24,WB,магний для сна,CalmNow,Magnesium Glycinate,WB-C-301,1340,4.69,2400,4,2,in_stock,Магний глицинат для сна,b6 стресс сон качество сна
2026-05-24,WB,магний для сна,BioNight,Night Mineral,WB-C-302,990,4.43,870,9,0,low_stock,Минеральный комплекс для сна,магний мелисса глицин вечер
2026-05-24,Ozon,магний b6,MaxMineral,Magnesium B6 120 tabs,OZ-C-400,1320,4.70,1450,2,1,in_stock,Магний B6 таблетки,стресс мышцы нервная система
2026-05-24,Ozon,магний b6,CalmPlus,Magnesium B6 Citrate,OZ-C-401,1490,4.76,2300,4,2,in_stock,Магний B6 цитрат,усвоение витамин b6 вечерний прием
2026-05-24,Ozon,магний b6,VitActive,Magnesium Complex,OZ-C-402,1190,4.55,890,8,0,in_stock,Комплекс магний B6,цитрат глицинат таблетки
2026-05-24,WB,коллаген морской,BeautyLab,Marine Collagen Powder,WB-C-500,1790,4.68,4100,1,1,in_stock,Морской коллаген порошок,пептиды витамин c кожа волосы суставы
2026-05-24,WB,коллаген морской,CollaPro,Collagen Peptides,WB-C-501,1890,4.73,3600,3,2,in_stock,Коллаген морской пептиды,тип 1 3 витамин c гиалуроновая кислота
2026-05-24,WB,коллаген морской,BioBeauty,Marine Collagen,WB-C-502,1590,4.59,2100,6,4,in_stock,Морской коллаген для кожи,пептиды красота волосы ногти
